function id,signature with docstring,function body
11,"def _hashignore(ignore):
    """"""Calculate hash for ignore patterns and filenames

    If this information changes between Mercurial invocations, we can't
    rely on Watchman information anymore and have to re-scan the working
    copy.

    """"""","    sha1 = hashlib.sha1()
    sha1.update(repr(ignore))
    return sha1.hexdigest()"
12,"def getprocstarttime(pid):
    """"""Get the windows timestamp of process start time

    Windows Timestamp in this context is a number of 100-nanosecond
    time units since January 1, 1601 at Greenwich, England.

    See https://msdn.microsoft.com/en-us/library/ms683223(VS.85).aspx""""""","    ph = _kernel32.OpenProcess(_PROCESS_QUERY_LIMITED_INFORMATION, 1, pid)
    if not ph or ph == _INVALID_HANDLE_VALUE:
        raise ctypes.WinError(_kernel32.GetLastError())
    try:
        creationtime = _FILETIME()
        exittime = _FILETIME()
        kerneltime = _FILETIME()
        usertime = _FILETIME()
        success = _kernel32.GetProcessTimes(
            ph,
            ctypes.byref(creationtime),
            ctypes.byref(exittime),
            ctypes.byref(kerneltime),
            ctypes.byref(usertime),
        )
        if not success:
            raise ctypes.WinError(_kernel32.GetLastError())
        ct = (creationtime.dwHighDateTime << 32) + creationtime.dwLowDateTime
        return ct
    finally:
        _kernel32.CloseHandle(ph)"
13,"def _reserved():
    """"""characters that are problematic for filesystems

    * ascii escapes (0..31)
    * ascii hi (126..255)
    * windows specials

    these characters will be escaped by encodefunctions
    """"""","    winreserved = [ord(x) for x in '\\:*?""<>|']
    for x in range(32):
        yield x
    for x in range(126, 256):
        yield x
    for x in winreserved:
        yield x"
14,"def is_new_task_filename(filename):
    """"""
    Check if a given filename counts as a new task.

    Used in tests and test triggers, and only here to avoid redundancy.
    """"""","    return (
        'parlai/tasks' in filename
        and 'README' not in filename
        and 'task_list.py' not in filename
    )"
15,"    def _extract_embedding_outputs(
        self, hooks: Dict[str, Dict[str, OutputRecorder]]
    ) -> Dict[str, torch.Tensor]:
        """"""
        Extract out the encoder and decoder embedding outputs.
        """"""","        assert len(hooks['embeddings'].outputs) == 2
        return {
            'encoder': hooks['embeddings'].outputs[0],
            'decoder': hooks['embeddings'].outputs[1],
        }"
16,"def is_this_circleci():
    """"""
    Return if we are currently running in CircleCI.
    """"""",    return bool(os.environ.get('CIRCLECI'))
17,"    def _encoder_input(
        self, batch: Batch
    ) -> Tuple[
        torch.LongTensor,
        torch.LongTensor,
        torch.LongTensor,
        torch.LongTensor,
        Optional[torch.LongTensor],
    ]:
        """"""
        During generation, we send the label truncation to the model.
        """"""","        return (
            batch.text_vec,
            batch.text_vec.ne(self.NULL_IDX).sum(1),
            batch.query_vec,
            batch.input_turn_cnt_vec,
            batch.text_vec.new(batch.batchsize).fill_(self.label_truncate),
        )"
18,"    def _startTest(self, offset, line):
        """"""Internal call to change state machine. Override startTest().""""""","        self._state.startTest(offset, line)"
19,"    def handle_fl(self):
        """"""Handle a flags line.""""""","        if self.current_state in [""MC"", ""MS"", ""MX""]:
            self.instance.append(self.current_entry)
            self.current_entry = POEntry()
        self.current_entry.flags += self.current_token[3:].split("", "")
        return True"
20,"    def addFailure(self, test, error=None, details=None):
        """"""Report a failure in test test.

        Only one of error and details should be provided: conceptually there
        are two separate methods:
            addFailure(self, test, error)
            addFailure(self, test, details)

        :param error: Standard unittest positional argument form - an
            exc_info tuple.
        :param details: New Testing-in-python drafted API; a dict from string
            to subunit.Content objects.
        """"""","        self._addOutcome(""failure"", test, error=error, details=details)"
21,"    def writable(self) -> bool:
        """"""
        Return a bool indicating whether object was opened for writing.

        If False, write() and truncate() will raise OSError.
        """"""",        return False
22,"    def load_entry_point(self, group, name):
        """"""Return the `name` entry point of `group` or raise ImportError""""""","        ep = self.get_entry_info(group, name)
        if ep is None:
            raise ImportError(""Entry point %r not found"" % ((group, name),))
        return ep.load()"
23,"def build_bootstrap_dataset(dataset_name: str, cfg: CfgNode) -> Sequence[torch.Tensor]:
    """"""
    Build dataset that provides data to bootstrap on

    Args:
        dataset_name (str): Name of the dataset, needs to have associated metadata
            to load the data
        cfg (CfgNode): bootstrapping config
    Returns:
        Sequence[Tensor] - dataset that provides image batches, Tensors of size
            [N, C, H, W] of type float32
    """"""","    logger = logging.getLogger(__name__)
    _add_category_info_to_bootstrapping_metadata(dataset_name, cfg)
    meta = MetadataCatalog.get(dataset_name)
    factory = BootstrapDatasetFactoryCatalog.get(meta.dataset_type)
    dataset = None
    if factory is not None:
        dataset = factory(meta, cfg)
    if dataset is None:
        logger.warning(f""Failed to create dataset {dataset_name} of type {meta.dataset_type}"")
    return dataset"
24,"    def get_dialogue_history(self, obs):
        """"""
        Get dialogue history for an observation.

        :param obs:
            observation

        :return:
            the observation with the dialogue history in the `text` field
        """"""","        if len(self.history) > 0:
            obs.force_set(""text"", ""\n"".join(self.history) + ""\n"" + obs[""text""])
        if ""labels"" in obs:
            self.history.append(random.choice(obs[""labels""]))
        elif ""eval_labels"" in obs:
            self.history.append(random.choice(obs[""eval_labels""]))
        if obs.get(""episode_done"", True):
            # end of this episode, clear the history
            self.history.clear()

        return obs"
25,"    def _send_file_arg(self, filename):
        """"""
        Sends the contents of a file to the server.
        """"""","        with open(filename) as f:
            while True:
                num_bytes = f.readinto(self.buf)
                if not num_bytes:
                    break
                self._send_chunk(self.buf.raw[:num_bytes], CHUNKTYPE_LONGARG)"
26,"    def parley(self):
        """"""
        Parley in all subworlds.

        Usually with ref:`batch_act` and ref:`batch_observe`.
        """"""","        # Collect batch together for each agent, and do update.
        # Assumes DialogPartnerWorld, MultiAgentWorld, or MultiWorlds of them.
        num_agents = len(self.world.get_agents())
        batch_observations = self.batch_observations

        if hasattr(self.world, 'parley_init'):
            for w in self.worlds:
                w.parley_init()

        for agent_idx in range(num_agents):
            # The agent acts.
            batch_act = self.batch_act(agent_idx, batch_observations[agent_idx])
            self.acts[agent_idx] = batch_act
            # We possibly execute this action in the world.
            if hasattr(self.world, 'execute'):
                for w in self.worlds:
                    w.execute(w.agents[agent_idx], batch_act[agent_idx])
            # All agents (might) observe the results.
            for other_index in range(num_agents):
                obs = self.batch_observe(other_index, batch_act, agent_idx)
                if obs is not None:
                    batch_observations[other_index] = obs
        self.update_counters()"
27,"def _exchangesetup():
    """"""Make changes to exchange and bundle2""""""","
    @exchange.b2partsgenerator(commonheadsparttype)
    @perftrace.tracefunc(""commonheads"")
    def commonheadspartgen(pushop, bundler):
        if rebaseparttype not in bundle2.bundle2caps(pushop.remote):
            # Server doesn't support pushrebase, so just fallback to normal push.
            return

        if pushop.ui.configbool(""experimental"", ""infinitepush-scratchpush""):
            # We are doing an infinitepush: it's not a pushrebase.
            return

        bundler.newpart(commonheadsparttype, data=b"""".join(pushop.outgoing.commonheads))

    @bundle2.parthandler(commonheadsparttype)
    def commonheadshandler(op, inpart):
        nodeid = inpart.read(20)
        while len(nodeid) == 20:
            op.records.add(commonheadsparttype, nodeid)
            nodeid = inpart.read(20)
        assert not nodeid  # data should split evenly into blocks of 20 bytes

    def checkremotenames():
        try:
            extensions.find(""remotenames"")
            return True
        except KeyError:
            return False

    @exchange.b2partsgenerator(rebasepackparttype)
    @perftrace.tracefunc(""rebasepackpart"")
    def packpartgen(pushop, bundler):
        # We generate this part manually during pushrebase pushes, so this is a
        # no-op. But it's required because bundle2 expects there to be a generator
        # for every handler.
        pass

    @exchange.b2partsgenerator(rebaseparttype)
    @perftrace.tracefunc(""rebasepart"")
    def rebasepartgen(pushop, bundler):
        onto = pushop.ui.config(experimental, configonto)
        if ""changesets"" in pushop.stepsdone or not onto:
            return

        if (
            rebaseparttype not in bundle2.bundle2caps(pushop.remote)
            and checkremotenames()
        ):
            # Server doesn't support pushrebase, but --to is valid in remotenames as
            # well, so just let it through.
            return

        pushop.stepsdone.add(""changesets"")
        pushop.stepsdone.add(""treepack"")
        if not pushop.outgoing.missing:
            # It's important that this text match the text found in upstream
            # Mercurial, since some tools rely on this string to know if a push
            # succeeded despite not pushing commits.
            pushop.ui.status(_(""no changes found\n""))
            pushop.cgresult = 0
            return

        # Force push means no rebasing, so let's just take the existing parent.
        if pushop.force:
            onto = donotrebasemarker

        rebaseparts = getrebaseparts(pushop.repo, pushop.remote, pushop.outgoing, onto)

        for part in rebaseparts:
            bundler.addpart(part)

        # Tell the server which manifests to load before taking the lock.
        # This helps shorten the duration of the lock, which increases our potential
        # commit rate.
        missing = pushop.outgoing.missing
        roots = pushop.repo.set(""parents(%ln) - %ln"", missing, missing)
        preloadnodes = [hex(r.manifestnode()) for r in roots]
        bundler.addparam(""preloadmanifests"", "","".join(preloadnodes))

        def handlereply(op):
            # server either succeeds or aborts; no code to read
            pushop.cgresult = 1

        return handlereply

    bundle2.capabilities[rebaseparttype] = ()

    @bundle2.parthandler(rebasepackparttype, (""version"", ""cache"", ""category""))
    def packparthandler(op, part):
        repo = op.repo

        versionstr = part.params.get(""version"")
        try:
            version = int(versionstr)
        except ValueError:
            version = 0

        if version < 1 or version > 2:
            raise error.Abort(
                _(""unknown rebasepack bundle2 part version: %s"") % versionstr
            )

        temppackpath = tempfile.mkdtemp()
        op.records.add(""tempdirs"", temppackpath)
        with mutablestores.mutabledatastore(repo, temppackpath) as dpack:
            with mutablestores.mutablehistorystore(repo, temppackpath) as hpack:
                wirepack.receivepack(repo.ui, part, dpack, hpack, version=version)
        op.records.add(""temp%spackdir"" % part.params.get(""category"", """"), temppackpath)
        # TODO: clean up

    @bundle2.parthandler(
        # ""newhead"" is not used, but exists for compatibility.
        rebaseparttype,
        (""onto"", ""newhead"", ""obsmarkerversions"", ""cgversion""),
    )
    def bundle2rebase(op, part):
        """"""unbundle a bundle2 containing a changegroup to rebase""""""

        params = part.params

        bundlefile = None
        bundle = None
        markerdate = util.makedate()
        ui = op.repo.ui

        # Patch ctx._fileinfo so it can look into treemanifests. This covers more
        # code paths (ex. fctx.renamed -> _copied -> ctx.filenode -> ctx._fileinfo
        # -> ""repo.manifestlog[self._changeset.manifest].find(path)"")
        def _fileinfo(orig, self, path):
            try:
                return orig(self, path)
            except LookupError:
                # Try look up again
                mf = _getmanifest(op, self)
                try:
                    return mf.find(path)
                except KeyError:
                    raise error.ManifestLookupError(
                        self._node, path, _(""not found in manifest"")
                    )

        with extensions.wrappedfunction(context.basectx, ""_fileinfo"", _fileinfo):
            ontoparam = params.get(""onto"", donotrebasemarker)
            try:  # guards bundlefile
                cgversion = params.get(""cgversion"", ""01"")
                bundlefile = _makebundlefile(op, part, cgversion)
                bundlepath = ""bundle:%s+%s"" % (op.repo.root, bundlefile)
                bundle = _createbundlerepo(op, bundlepath)

                ontoctx = resolveonto(op.repo, ontoparam)

                prepushrebasehooks(op, params, bundle, bundlefile)

                ui.setconfig(""pushrebase"", pushrebasemarker, True)
                verbose = ontoctx is not None and ui.configbool(""pushrebase"", ""verbose"")
                usestackpush = ontoctx is not None and ui.configbool(
                    ""pushrebase"", ""trystackpush"", True
                )

                def log(msg, force=False):
                    if verbose or force:
                        ui.write_err(msg)
                    ui.log(""pushrebase"", msg)

                if usestackpush:
                    try:
                        pushrequest = stackpush.pushrequest.fromrevset(
                            bundle, ""bundle()""
                        )
                    except StackPushUnsupportedError as ex:
                        # stackpush is unsupported. Fallback to old code path.
                        if verbose:
                            ui.write_err(_(""not using stackpush: %s\n"") % ex)

                        usestackpush = False
                if usestackpush:
                    # This can happen in the following (rare) case:
                    #
                    # Client:         Server:
                    #
                    #  C
                    #  |
                    #  B               B
                    #  |               |
                    #  A               A master
                    #
                    # Client runs ""push -r C --to master"". ""bundle()"" only contains
                    # ""C"". The non-stackpush code path would fast-forward master to
                    # ""C"". The stackpush code path will try rebasing ""C"" to ""A"".
                    # Prevent that. An alternative fix is to pass ""::bundle() % onto""
                    # to pushrequest.fromrevset. But that's more expensive and adds
                    # other complexities.
                    if (
                        ontoctx.node() != pushrequest.stackparentnode
                        and op.repo.changelog.isancestor(
                            ontoctx.node(), pushrequest.stackparentnode
                        )
                    ):
                        if verbose:
                            ui.write_err(
                                _(""not using stackpush: not rebasing backwards\n"")
                            )
                        usestackpush = False

                if usestackpush:
                    # stackpush code path - use ""pushrequest"" instead of ""bundlerepo""

                    # Check conflicts before entering the critical section. This is
                    # optional since there is another check inside the critical
                    # section.
                    log(_(""checking conflicts with %s\n"") % (ontoctx,))

                    pushrequest.check(ontoctx)

                    # Print and log what commits to push.
                    log(
                        getpushmessage(
                            pushrequest.pushcommits,
                            lambda c: ""%s  %s""
                            % (short(c.orignode), c.desc.split(""\n"", 1)[0][:50]),
                        ),
                        force=True,
                    )

                    # Enter the critical section! This triggers a hgsql sync.
                    tr = op.gettransaction()
                    hookargs = dict(tr.hookargs)
                    op.repo.hook(""prechangegroup"", throw=True, **hookargs)

                    # ontoctx could move. Fetch the new one.
                    # Print rebase source and destination.
                    ontoctx = resolveonto(op.repo, ontoparam)
                    log(
                        _(""rebasing stack from %s onto %s\n"")
                        % (short(pushrequest.stackparentnode), ontoctx)
                    )
                    added, replacements = pushrequest.pushonto(
                        ontoctx, getcommitdatefn=common.commitdategenerator(op)
                    )
                else:
                    # Old code path - use a bundlerepo

                    # Create a cache of rename sources while we don't have the lock.
                    renamesrccache = {
                        bundle[r].node(): _getrenamesrcs(op, bundle[r])
                        for r in bundle.revs(""bundle()"")
                    }

                    # Opening the transaction takes the lock, so do it after prepushrebase
                    # and after we've fetched all the cache information we'll need.
                    tr = op.gettransaction()
                    hookargs = dict(tr.hookargs)

                    # Recreate the bundle repo, since taking the lock in gettransaction()
                    # may have caused it to become out of date.
                    # (but grab a copy of the cache first)
                    bundle.close()
                    bundle = _createbundlerepo(op, bundlepath)

                    onto = getontotarget(op, params, bundle)

                    revs, oldonto = _getrevs(op, bundle, onto, renamesrccache)

                    op.repo.hook(""prechangegroup"", throw=True, **hookargs)

                    log(
                        getpushmessage(
                            revs,
                            lambda r: ""%s  %s""
                            % (r, bundle[r].description().split(""\n"", 1)[0][:50]),
                        ),
                        force=True,
                    )

                    # Prepopulate the revlog _cache with the original onto's fulltext. This
                    # means reading the new onto's manifest will likely have a much shorter
                    # delta chain to traverse.
                    log(_(""rebasing onto %s\n"") % (short(onto.node()),))

                    # Perform the rebase + commit to the main repo
                    added, replacements = runrebase(op, revs, oldonto, onto)

                    # revs is modified by runrebase to ensure garbage collection of
                    # manifests, so don't use it from here on.
                    revs = None

                op.repo.pushrebaseaddedchangesets = added
                op.repo.pushrebasereplacements = replacements

                markers = _buildobsolete(replacements, bundle, op.repo, markerdate)
            finally:
                try:
                    if bundlefile:
                        os.unlink(bundlefile)
                except OSError as e:
                    if e.errno != errno.ENOENT:
                        raise
                if bundle:
                    bundle.close()

        # Move public phase forward
        publishing = op.repo.ui.configbool(""phases"", ""publish"")
        if publishing:
            phasesmod.advanceboundary(op.repo, tr, phasesmod.public, [added[-1]])

        addfinalhooks(op, tr, hookargs, added)

        # Send new commits back to the client
        clientobsmarkerversions = [
            int(v) for v in params.get(""obsmarkerversions"", """").split(""\0"") if v
        ]
        _addpushbackparts(
            op, replacements, markers, markerdate, clientobsmarkerversions
        )

        for k in list(replacements.keys()):
            replacements[hex(k)] = hex(replacements[k])
        op.records.add(rebaseparttype, replacements)

        return 1"
28,"def outdebug(ui, message):
    """"""debug regarding output stream (bundling)""""""","    if ui.configbool(""devel"", ""bundle2.debug""):
        ui.debug(""bundle2-output: %s\n"" % message)"
29,"    def async_close(self, **kwargs: Any) -> bool:
        """"""
        `async_close()` must be called at the very end of any script that uses the
        asynchronous `opena` feature. This calls `async_join()` first and then closes
        the thread pool used for the asynchronous operations.

        Returns:
            status (bool): True on success
        """"""","        success = self.async_join(**kwargs)
        for handler in self._async_handlers:
            success = handler._async_close(**kwargs) and success
        self._async_handlers.clear()
        return success"
30,"def cosine_similarity(vec1, vec2) -> float:
    """"""
    Cosine similarity between two scipy sparse row matricies.
    """"""","    numerator = np.dot(vec1, vec2.transpose())[0, 0]
    denominator = np.linalg.norm(vec1.data) * np.linalg.norm(vec2.data)
    return numerator / max(denominator, 1e-8)"
31,"    def _set_text_vec(self, *args, **kwargs):
        """"""
        Add the start and end token to the text.
        """"""","        obs = super()._set_text_vec(*args, **kwargs)

        if 'text_vec' in obs and 'added_start_end' not in obs:
            obs.force_set(
                'text_vec', self._add_start_end_tokens(obs['text_vec'], True, True)
            )
            obs['added_start_end'] = True

        # check truncation after adding start end tokens
        if obs.get('text_vec') is not None:
            truncated_vec = self._check_truncate(
                obs['text_vec'], self.text_truncate, True
            )
            obs.force_set('text_vec', torch.LongTensor(truncated_vec))

        return obs"
32,"def _pushrevs(repo, ui, rev):
    """"""Given configuration and default rev, return the revs to be pushed""""""","    pushrev = ui.config(""remotenames"", ""pushrev"")
    if pushrev == ""!"":
        return []
    elif pushrev:
        return [repo[pushrev].rev()]
    if rev:
        return [repo[rev].rev()]
    return []"
33,"    def _parsefuncdecl(self, decl):
        """"""Parse function declaration and return the name of function in it""""""","        i = decl.find(""("")
        if i >= 0:
            return decl[:i]
        else:
            return decl"
34,"    def iscensored(self, rev):
        """"""Check if a file revision is censored.""""""",        return self.flags(rev) & revlog.REVIDX_ISCENSORED
35,"    def share(self):
        """"""
        Share the scripted module object.
        """"""","        shared = super().share()
        shared['module'] = self.module
        return shared"
36,"    def wlock(self, wait=True):
        """"""Lock the non-store parts of the repository (everything under
        .hg except .hg/store) and return a weak reference to the lock.

        Use this before modifying files in .hg.

        If both 'lock' and 'wlock' must be acquired, ensure you always acquires
        'wlock' first to avoid a dead-lock hazard.""""""","        l = self._wlockref and self._wlockref()
        if l is not None and l.held:
            l.lock()
            return l

        if self.ui.configbool(""devel"", ""debug-lockers""):
            util.debugstacktrace(""acquiring wlock for %s"" % self.root, skip=1, depth=5)

        # We do not need to check for non-waiting lock acquisition.  Such
        # acquisition would not cause dead-lock as they would just fail.
        if wait and (
            self.ui.configbool(""devel"", ""all-warnings"")
            or self.ui.configbool(""devel"", ""check-locks"")
        ):
            if self._currentlock(self._lockref) is not None:
                self.ui.develwarn('""wlock"" acquired after ""lock""')

        # if this is a shared repo and we must also lock the shared wlock
        # or else we can deadlock due to lock ordering issues
        sharedwlock = None
        if self.shared():
            sharedwlock = self._lock(
                self.sharedvfs,
                ""wlock"",
                wait,
                None,
                None,
                _(""shared repository %s"") % self.sharedroot,
            )

        def unlock():
            if sharedwlock:
                sharedwlock.release()
            if self.dirstate.pendingparentchange():
                self.dirstate.invalidate()
            else:
                self.dirstate.write(None)

            self._filecache[""dirstate""].refresh()

        l = self._lock(
            self.localvfs,
            ""wlock"",
            wait,
            unlock,
            self.invalidatedirstate,
            _(""working directory of %s"") % self.origroot,
        )
        self._wlockref = weakref.ref(l)
        return l"
37,"    def __init__(self, log_dir: str, window_size: int = 20, **kwargs):
        """"""
        Args:
            log_dir (str): the directory to save the output events
            window_size (int): the scalars will be median-smoothed by this window size

            kwargs: other arguments passed to `torch.utils.tensorboard.SummaryWriter(...)`
        """"""","        self._window_size = window_size
        from torch.utils.tensorboard import SummaryWriter

        self._writer = SummaryWriter(log_dir, **kwargs)
        self._last_write = -1"
